"Course ","Course Code","Section Fee Type","Course Amount ($)","Course Start Date"
"0.6 CEU Centrifugal Pump","WTER-1253","17918","246.67","06-Dec-2018"
"0.6 CEU Centrifugal Pump","WTER-1253","17918","246.67","06-Dec-2018"
"0.6 CEU Centrifugal Pump","WTER-1253","17918","246.67","26-Feb-2019"
"0.6 CEU Centrifugal Pump","WTER-1253","17918","246.67","26-Feb-2019"
"0.6 CEU Centrifugal Pump","WTER-1253","17908","246.67","20-Feb-2020"
"0.6 CEU Centrifugal Pump","WTER-1253","17908","246.67","20-Feb-2020"
"0.6 CEU Centrifugal Pump","WTER-1253","17918","246.67","06-Dec-2018"
"0.6 CEU Centrifugal Pump","WTER-1253","17908","246.67","20-Feb-2020"
"0.6 CEU Centrifugal Pump","WTER-1253","17908","246.67","20-Feb-2020"
"0.6 CEU Centrifugal Pump","WTER-1253","17918","246.67","26-Feb-2019"
"0.6 CEU Distribution System","WTER-1243","17908","246.67","06-Dec-2019"
"0.6 CEU Distribution System","WTER-1243","17908","246.67","06-Dec-2019"
"0.6 CEU Distribution System","WTER-1243","17918","246.67","04-Dec-2018"
"0.6 CEU Distribution System","WTER-1243","17918","246.67","04-Dec-2018"
"0.6 CEU Distribution System","WTER-1243","17918","246.67","04-Dec-2018"
"0.6 CEU Distribution System","WTER-1243","17918","246.67","07-Dec-2018"
"0.6 CEU Distribution System","WTER-1243","17918","246.67","07-Dec-2018"
"0.6 CEU Distribution System","WTER-1243","17918","246.67","07-Dec-2018"
"0.6 CEU Distribution System","WTER-1243","17908","246.67","06-Dec-2019"
"0.6 CEU Distribution System","WTER-1243","17908","246.67","06-Dec-2019"
"0.6 CEU Distribution System","WTER-1243","17908","246.67","21-Feb-2020"
"0.6 CEU Distribution System","WTER-1243","17908","246.67","21-Feb-2020"
"0.6 CEU Distribution System","WTER-1243","17908","246.67","21-Feb-2020"
"0.6 CEU Distribution System","WTER-1243","17908","246.67","21-Feb-2020"
"0.6 CEU Distribution System","WTER-1243","17918","246.67","25-Feb-2019"
"0.6 CEU Distribution System","WTER-1243","17918","246.67","25-Feb-2019"
"0.6 CEU Distribution System","WTER-1243","17918","246.67","25-Feb-2019"
"0.6 CEU Distribution System","WTER-1243","17908","246.67","21-Feb-2020"
"0.6 CEU Distribution System","WTER-1243","17908","246.67","21-Feb-2020"
"0.6 CEU Lagoon Operation & MW","WTER-1249","17918","246.67","26-Apr-2019"
